12.25,10,1,1,41.952822916,-87.65324399200001,41.920451512,-87.67995476799999
3.85,3,15,6,41.89967018,-87.66983779799999,41.920451512,-87.67995476799999
6.05,8,23,5,41.906025969,-87.67531162200001,41.920451512,-87.67995476799999
7.25,10,21,7,41.906650766,-87.66533766,41.920451512,-87.67995476799999
7.85,11,11,2,41.87101588,-87.631406525,41.849246754,-87.624135298
13.05,9,17,2,41.849246754,-87.624135298,41.849246754,-87.624135298
5.05,11,20,2,42.001571027,-87.695012589,42.001571027,-87.695012589
7.45,3,12,1,41.975170943,-87.687515515,42.001571027,-87.695012589
3.45,7,18,5,42.001571027,-87.695012589,42.001571027,-87.695012589
4.65,12,15,1,42.001571027,-87.695012589,42.001571027,-87.695012589
6.25,7,11,1,42.001571027,-87.695012589,42.001571027,-87.695012589
10.05,3,20,6,42.001571027,-87.695012589,42.001571027,-87.695012589
3.25,8,19,2,42.001571027,-87.695012589,42.001571027,-87.695012589
3.25,3,6,2,42.001571027,-87.695012589,42.001571027,-87.695012589
9.85,6,18,3,41.968069,-87.72155906299999,42.001571027,-87.695012589
9.45,3,22,5,41.975170943,-87.687515515,42.001571027,-87.695012589
3.25,1,9,1,42.001571027,-87.695012589,42.001571027,-87.695012589
3.25,5,17,4,42.001571027,-87.695012589,42.001571027,-87.695012589
10.45,12,23,1,41.938666196,-87.71121059299999,41.901206994,-87.676355989
5.25,10,17,7,41.972709547,-87.65734110700001,41.972437081,-87.67110952600001
7.45,6,17,1,41.952719111,-87.66050350200001,41.972437081,-87.67110952600001
6.65,8,15,1,41.972437081,-87.67110952600001,41.972437081,-87.67110952600001
12.25,1,2,1,41.908378669,-87.670945075,41.972437081,-87.67110952600001
6.05,7,21,3,41.905857769,-87.63086502700001,41.892507781,-87.626214906
8.45,2,21,5,41.907412816,-87.640901525,41.892507781,-87.626214906
12.65,12,20,5,41.926811182,-87.642605247,41.892507781,-87.626214906
8.85,9,19,1,41.921854911,-87.64621097700001,41.892507781,-87.626214906
11.25,7,0,7,41.938391258,-87.63857492,41.892507781,-87.626214906
10.45,11,13,1,41.921701492,-87.65591184799999,41.892507781,-87.626214906
11.25,10,8,5,41.943155086,-87.640698076,41.892507781,-87.626214906
11.25,12,12,2,41.867902418,-87.642958665,41.892507781,-87.626214906
8.65,12,0,6,41.92926299,-87.63589095399999,41.892507781,-87.626214906
16.45,2,23,7,41.957530922,-87.66661144,41.892507781,-87.626214906
12.65,3,23,7,41.934659157,-87.646729729,41.892507781,-87.626214906
6.45,4,22,4,41.892658108,-87.652534484,41.892507781,-87.626214906
9.45,12,11,4,41.92926299,-87.63589095399999,41.892507781,-87.626214906
11.05,3,14,1,41.942691844,-87.65177050700001,41.892507781,-87.626214906
11.75,9,12,2,41.849246754,-87.624135298,41.892507781,-87.626214906
5.25,3,18,7,41.958154876,-87.653021789,41.957530922,-87.66661144
6.05,4,0,7,41.949139771,-87.65680390899999,41.957735565,-87.68371810200001
5.65,11,21,6,41.921854911,-87.64621097700001,41.921877461,-87.66407824
26.05,3,15,1,41.790506261,-87.58314371700001,41.921877461,-87.66407824
8.05,11,1,1,41.94258518,-87.65664409200001,41.921877461,-87.66407824
9.25,2,14,7,41.934762456,-87.639853859,41.921877461,-87.66407824
5.65,7,22,7,41.916005274,-87.67509511600001,41.921877461,-87.66407824
6.65,6,20,1,41.942577185,-87.647078509,41.963633169,-87.652365359
12.85,9,21,1,41.929077655,-87.646293476,41.892042136,-87.63186395
